Time used: 2.7929787635803223
         3288214 function calls (3255290 primitive calls) in 2.811 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 datetime.py:1236(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1558(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1566(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2179(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2199(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
        3    0.000    0.000    0.000    0.000 datetime.py:41(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:411(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:424(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:441(_check_tzinfo_arg)
        5    0.000    0.000    0.000    0.000 datetime.py:46(_days_in_month)
        1    0.000    0.000    0.000    0.000 datetime.py:469(timedelta)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        2    0.000    0.000    0.000    0.000 datetime.py:661(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:789(date)
        2    0.000    0.000    0.000    0.000 datetime.py:819(__new__)
        1    0.000    0.000    0.000    0.000 node12.py:1(<module>)
        1    0.000    0.000    0.000    0.000 node12.py:7(Node12)
        1    0.000    0.000    0.001    0.001 pathmgr.py:1(<module>)
       91    0.003    0.000    2.733    0.030 pathmgr.py:19(__init__)
        4    0.000    0.000    0.000    0.000 pathmgr.py:61(finalize)
        1    0.000    0.000    0.000    0.000 pathmgr.py:7(PathManager)
        1    0.000    0.000    0.002    0.002 satholder.py:1(<module>)
       14    0.000    0.000    0.000    0.000 satholder.py:12(reduce)
       14    0.000    0.000    0.000    0.000 satholder.py:16(<listcomp>)
     1130    0.006    0.000    0.015    0.000 satholder.py:21(reduce_vk)
      251    0.000    0.000    0.000    0.000 satholder.py:40(<dictcomp>)
        1    0.000    0.000    0.000    0.000 satholder.py:5(SatHolder)
       13    0.000    0.000    0.000    0.000 satholder.py:51(clone)
       97    0.000    0.000    0.000    0.000 satholder.py:54(get_sats)
       28    0.000    0.000    0.000    0.000 satholder.py:8(__init__)
        1    0.000    0.000    0.001    0.001 satnode.py:1(<module>)
       13    0.000    0.000    0.000    0.000 satnode.py:101(<dictcomp>)
       14    0.000    0.000    2.785    0.199 satnode.py:11(__init__)
       14    0.000    0.000    2.785    0.199 satnode.py:20(prepare)
       13    0.000    0.000    2.774    0.213 satnode.py:41(spawn)
       13    0.001    0.000    2.735    0.210 satnode.py:51(make_paths)
       51    0.001    0.000    0.001    0.000 satnode.py:62(<listcomp>)
        1    0.000    0.000    0.000    0.000 satnode.py:7(SatNode)
    31/13    0.000    0.000    0.000    0.000 satnode.py:73(trim_chs)
       17    0.000    0.000    0.000    0.000 satnode.py:87(<listcomp>)
       91    0.000    0.000    0.000    0.000 satnode.py:91(is_top)
        1    0.000    0.000    0.000    0.000 satnode.py:94(solve)
        1    0.000    0.000    0.000    0.000 satnode.py:97(update_cnt)
        1    0.000    0.000    2.811    2.811 solver12.py:1(<module>)
        2    0.000    0.000    0.002    0.001 solver12.py:11(make_vkdic)
        1    0.000    0.000    0.007    0.007 solver12.py:18(make_vkm)
        1    0.000    0.000    2.793    2.793 solver12.py:23(process)
        2    0.000    0.000    0.012    0.006 solver12.py:36(get_vkdic_from_cfg)
        1    0.000    0.000    2.806    2.806 solver12.py:43(work)
        1    0.000    0.000    0.000    0.000 tnode.py:1(<module>)
       42    0.001    0.000    0.004    0.000 tnode.py:16(check_sat)
       42    0.000    0.000    0.014    0.000 tnode.py:26(find_path_vk12m)
      357    0.219    0.001    2.712    0.008 tnode.py:36(filter_paths)
     6209    0.027    0.000    0.055    0.000 tnode.py:59(add_ancvks)
        1    0.000    0.000    0.000    0.000 tnode.py:6(TNode)
       97    0.000    0.000    0.006    0.000 tnode.py:8(__init__)
        1    0.000    0.000    0.000    0.000 vk12mgr.py:1(<module>)
    91573    0.610    0.000    0.861    0.000 vk12mgr.py:110(add_vk2)
       97    0.000    0.000    0.000    0.000 vk12mgr.py:17(reset)
    63935    0.115    0.000    0.181    0.000 vk12mgr.py:181(remove_vk2)
     6209    0.028    0.000    0.339    0.000 vk12mgr.py:24(clone)
     6209    0.029    0.000    0.029    0.000 vk12mgr.py:27(<dictcomp>)
     6209    0.035    0.000    0.276    0.000 vk12mgr.py:31(<dictcomp>)
     6209    0.007    0.000    0.010    0.000 vk12mgr.py:41(vk1s)
     6209    0.003    0.000    0.003    0.000 vk12mgr.py:42(<listcomp>)
       84    0.000    0.000    0.005    0.000 vk12mgr.py:44(add_vkdic)
153917/153728    0.100    0.000    1.444    0.000 vk12mgr.py:48(add_vk)
        1    0.000    0.000    0.000    0.000 vk12mgr.py:5(VK12Manager)
102248/69582    0.342    0.000    0.646    0.000 vk12mgr.py:55(add_vk1)
     6306    0.004    0.000    0.009    0.000 vk12mgr.py:9(__init__)
        1    0.000    0.000    0.000    0.000 vklause.py:1(<module>)
   161614    0.322    0.000    0.685    0.000 vklause.py:101(partial_hit_residue)
   222934    0.259    0.000    0.459    0.000 vklause.py:11(__init__)
    40093    0.054    0.000    0.079    0.000 vklause.py:20(drop_bit)
